Date,Y_Date,Y
26-04-2016,26-04-2016,20650.0
27-04-2016,27-04-2016,20700.0
28-04-2016,28-04-2016,20700.0
29-04-2016,29-04-2016,21050.0
05-03-2016,03-05-2016,21350.0
05-04-2016,04-05-2016,21300.0
05-09-2016,09-05-2016,21400.0
05-10-2016,10-05-2016,21100.0
05-11-2016,11-05-2016,21200.0
05-12-2016,12-05-2016,21250.0
13-05-2016,13-05-2016,21200.0
16-05-2016,16-05-2016,21400.0
17-05-2016,17-05-2016,21400.0
18-05-2016,18-05-2016,21500.0
19-05-2016,19-05-2016,21300.0
23-05-2016,23-05-2016,21200.0
24-05-2016,24-05-2016,21150.0
25-05-2016,25-05-2016,20850.0
26-05-2016,26-05-2016,20800.0
27-05-2016,27-05-2016,20550.0
31-05-2016,30-05-2016,20450.0
06-01-2016,01-06-2016,20600.0
06-02-2016,02-06-2016,20550.0
06-03-2016,03-06-2016,20450.0
06-06-2016,06-06-2016,20800.0
06-07-2016,07-06-2016,20800.0
06-08-2016,08-06-2016,20800.0
06-09-2016,09-06-2016,20950.0
06-10-2016,10-06-2016,21150.0
13-06-2016,13-06-2016,21250.0
14-06-2016,14-06-2016,21350.0
15-06-2016,15-06-2016,21500.0
16-06-2016,16-06-2016,21650.0
17-06-2016,17-06-2016,21450.0
20-06-2016,20-06-2016,21450.0
21-06-2016,21-06-2016,21500.0
22-06-2016,22-06-2016,21200.0
23-06-2016,23-06-2016,21100.0
24-06-2016,24-06-2016,21400.0
27-06-2016,27-06-2016,22200.0
28-06-2016,28-06-2016,22100.0
29-06-2016,29-06-2016,22050.0
30-06-2016,30-06-2016,21950.0
07-05-2016,04-07-2016,22400.0
07-06-2016,06-07-2016,22750.0
07-07-2016,07-07-2016,22800.0
07-08-2016,08-07-2016,22600.0
07-11-2016,11-07-2016,22800.0
07-12-2016,12-07-2016,22600.0
13-07-2016,13-07-2016,22250.0
14-07-2016,14-07-2016,22350.0
15-07-2016,15-07-2016,22100.0
20-07-2016,20-07-2016,22100.0
21-07-2016,21-07-2016,21850.0
22-07-2016,22-07-2016,22000.0
25-07-2016,25-07-2016,21850.0
26-07-2016,26-07-2016,21900.0
27-07-2016,27-07-2016,21900.0
28-07-2016,28-07-2016,22100.0
29-07-2016,29-07-2016,22100.0
08-01-2016,01-08-2016,22250.0
08-02-2016,02-08-2016,22250.0
08-03-2016,03-08-2016,22450.0
08-04-2016,04-08-2016,22450.0
08-05-2016,05-08-2016,22500.0
08-08-2016,08-08-2016,22200.0
08-09-2016,09-08-2016,22100.0
08-10-2016,10-08-2016,22200.0
08-11-2016,11-08-2016,22150.0
15-08-2016,15-08-2016,22100.0
16-08-2016,16-08-2016,22050.0
17-08-2016,17-08-2016,22100.0
18-08-2016,18-08-2016,22200.0
19-08-2016,19-08-2016,22100.0
22-08-2016,22-08-2016,22000.0
23-08-2016,23-08-2016,21950.0
24-08-2016,24-08-2016,21950.0
25-08-2016,25-08-2016,21800.0
26-08-2016,26-08-2016,21700.0
29-08-2016,29-08-2016,21650.0
30-08-2016,30-08-2016,21700.0
31-08-2016,31-08-2016,21600.0
09-01-2016,01-09-2016,21550.0
09-02-2016,02-09-2016,21550.0
09-06-2016,05-09-2016,21750.0
09-07-2016,07-09-2016,22100.0
09-08-2016,08-09-2016,22100.0
09-09-2016,09-09-2016,22050.0
09-12-2016,12-09-2016,21950.0
13-09-2016,13-09-2016,22000.0
14-09-2016,14-09-2016,21900.0
15-09-2016,15-09-2016,21900.0
16-09-2016,16-09-2016,21750.0
19-09-2016,19-09-2016,21750.0
20-09-2016,20-09-2016,21750.0
21-09-2016,21-09-2016,21700.0
22-09-2016,22-09-2016,21900.0
23-09-2016,23-09-2016,21900.0
26-09-2016,26-09-2016,21950.0
27-09-2016,27-09-2016,21900.0
28-09-2016,28-09-2016,21750.0
29-09-2016,29-09-2016,21750.0
30-09-2016,30-09-2016,21750.0
10-03-2016,03-10-2016,21650.0
10-04-2016,04-10-2016,21550.0
10-05-2016,05-10-2016,21000.0
10-06-2016,06-10-2016,20950.0
10-07-2016,07-10-2016,20800.0
10-10-2016,10-10-2016,20900.0
10-11-2016,11-10-2016,21000.0
10-12-2016,12-10-2016,21050.0
13-10-2016,13-10-2016,21250.0
14-10-2016,14-10-2016,21050.0
17-10-2016,17-10-2016,21050.0
18-10-2016,18-10-2016,21000.0
19-10-2016,19-10-2016,20950.0
20-10-2016,20-10-2016,21050.0
21-10-2016,21-10-2016,21050.0
25-10-2016,25-10-2016,21000.0
26-10-2016,26-10-2016,21100.0
27-10-2016,27-10-2016,21050.0
28-10-2016,28-10-2016,21150.0
31-10-2016,31-10-2016,21150.0
11-01-2016,01-11-2016,21150.0
11-02-2016,02-11-2016,21400.0
11-03-2016,03-11-2016,21500.0
11-04-2016,04-11-2016,21550.0
11-07-2016,07-11-2016,21450.0
11-08-2016,08-11-2016,21300.0
11-09-2016,09-11-2016,21550.0
11-10-2016,10-11-2016,21400.0
11-11-2016,11-11-2016,21100.0
14-11-2016,14-11-2016,20500.0
15-11-2016,15-11-2016,20600.0
16-11-2016,16-11-2016,20650.0
17-11-2016,17-11-2016,20600.0
18-11-2016,18-11-2016,20400.0
21-11-2016,21-11-2016,20450.0
22-11-2016,22-11-2016,20500.0
23-11-2016,23-11-2016,20450.0
25-11-2016,24-11-2016,20100.0
28-11-2016,28-11-2016,20150.0
29-11-2016,29-11-2016,20100.0
30-11-2016,30-11-2016,20150.0
12-01-2016,01-12-2016,19800.0
12-02-2016,02-12-2016,19900.0
12-06-2016,06-12-2016,19850.0
12-07-2016,07-12-2016,19800.0
12-08-2016,08-12-2016,19900.0
12-09-2016,09-12-2016,19750.0
13-12-2016,13-12-2016,19650.0
14-12-2016,14-12-2016,19600.0
15-12-2016,15-12-2016,19400.0
16-12-2016,16-12-2016,19250.0
19-12-2016,19-12-2016,19350.0
20-12-2016,20-12-2016,19400.0
21-12-2016,21-12-2016,19400.0
22-12-2016,22-12-2016,19350.0
23-12-2016,23-12-2016,19350.0
27-12-2016,27-12-2016,19400.0
28-12-2016,28-12-2016,19500.0
29-12-2016,29-12-2016,19600.0
30-12-2016,30-12-2016,19700.0
01-04-2017,04-01-2017,19750.0
01-05-2017,05-01-2017,19900.0
01-06-2017,06-01-2017,19950.0
01-09-2017,09-01-2017,19950.0
01-10-2017,10-01-2017,19950.0
01-11-2017,11-01-2017,20050.0
01-12-2017,12-01-2017,20050.0
13-01-2017,13-01-2017,20050.0
17-01-2017,16-01-2017,20150.0
18-01-2017,18-01-2017,20300.0
19-01-2017,19-01-2017,20200.0
20-01-2017,20-01-2017,20200.0
23-01-2017,23-01-2017,20300.0
24-01-2017,24-01-2017,20300.0
25-01-2017,25-01-2017,20250.0
26-01-2017,26-01-2017,20050.0
27-01-2017,27-01-2017,19900.0
30-01-2017,30-01-2017,19950.0
