BVN,EUR_USD,Crude_Oil,JPY_THB,NYSE,TenBond_THB,USD_THB
6.86,1.13,70.04,0.3,16945.8,1.36,33.39
6.92,1.12,69.23,0.29,16974,1.36,33.11
6.64,1.12,78.34,0.29,17117.7,1.38,33.02
6.34,1.12,78.48,0.29,17192.7,1.37,32.81
6.53,1.13,76.46,0.29,17302.8,1.4,32.58
6.96,1.14,75.75,0.29,17285.5,1.39,32.62
7.1,1.13,78.76,0.29,17297.7,1.38,32.76
7.42,1.13,78.34,0.28,17192,1.38,32.72
7.72,1.14,80.54,0.29,17286.9,1.37,32.75
7.87,1.15,80.93,0.29,17242.4,1.37,32.83
7.65,1.15,80.66,0.29,17168.9,1.38,32.77
7.52,1.16,81.41,0.29,17115.2,1.37,33.17
7.43,1.16,84.53,0.29,17131.1,1.37,33.36
7.03,1.16,81.13,0.29,17016.4,1.38,33.27
7.33,1.16,79.37,0.29,17077,1.38,33.3
7.77,1.16,83.07,0.29,16920.4,1.37,33.31
7.88,1.16,83.87,0.29,17145.2,1.36,33.21
8.06,1.17,83.09,0.29,17169.1,1.35,33.3
8.32,1.16,82.25,0.29,17122.2,1.35,33.22
8.69,1.16,84.39,0.29,17099.2,1.35,33.06
9,1.16,83.72,0.29,16988.2,1.34,33.32
8.85,1.16,83.98,0.29,16862,1.36,33.37
8.76,1.17,83.58,0.29,16871.7,1.34,33.33
9.05,1.16,83.34,0.29,16744.3,1.36,33.49
8.81,1.16,82.37,0.29,16513.2,1.32,33.42
8.29,1.16,82.6,0.29,16517.2,1.32,33.17
8.18,1.16,81.48,0.29,16511.8,1.36,33.2
8.26,1.16,80.59,0.29,16327.1,1.34,33.86
7.69,1.16,80.5,0.3,16198.6,1.32,33.78
7.47,1.16,79.59,0.3,16344.9,1.31,33.83
6.73,1.16,78.86,0.3,16328.8,1.33,33.77
6.78,1.16,79.04,0.3,16599.8,1.39,33.95
6.86,1.16,77.58,0.3,16539.2,1.44,33.85
7,1.17,74.78,0.3,16352.2,1.43,33.6
7.19,1.17,74.38,0.3,16184.5,1.45,33.43
7.21,1.17,75.43,0.3,16168.2,1.43,33.47
7.43,1.17,74.19,0.3,16460.3,1.45,33.38
7.33,1.17,71.97,0.31,16576.8,1.45,33.37
7.25,1.17,70.85,0.3,16626.9,1.45,33.32
7.07,1.17,70.59,0.3,16497.2,1.49,33.14
6.92,1.18,71.92,0.3,16635.4,1.42,32.89
6.71,1.18,72.62,0.3,16563.5,1.4,32.95
7.14,1.18,72.65,0.3,16731,1.35,32.87
7.32,1.18,70.76,0.3,16801.2,1.33,32.69
7.15,1.18,70.64,0.3,16909.7,1.33,32.77
7.3,1.18,69.74,0.3,16926.7,1.34,32.66
7.28,1.18,69.36,0.3,16846,1.32,32.44
7.35,1.19,68.37,0.3,16819.6,1.3,32.49
7.31,1.19,69.11,0.3,16844.8,1.31,32.46
