Y,DJI,Set_One,GBP_THB,EURUSD,Oil,XAG,XAU_XAG,Rhodium,Copper,SP_FIVE,JPY_THB,BVN ,Set,NYSE,USD_THB,TenBond_THB
31900,33945.98,2106.53,43.95,1.0944,68.7,23.9443,82.02,"6,090.00",3.887,"4,440.95",0.2468,7.5,"1,562.67","15,826.30",34.61,2.52
32000,34044.7,2115.54,43.74,1.083,69.35,23.6275,81.32,"6,090.00",3.8945,"4,365.33",0.2479,7.44,"1,561.47","15,642.70",34.69,2.62
32000,34111.08,2094.39,43.33,1.0792,67.31,24.0613,82.1,"6,090.00",3.866,"4,366.29",0.2473,7.4,"1,566.54","15,667.80",34.64,2.55
31850,33906.8,2090,43.49,1.0755,70.27,24.2658,81.37,"6,190.00",3.8285,"4,352.61",0.2483,7.28,"1,553.11","15,548.50",34.64,2.64
31850,33852.44,2102.36,43.49,1.0751,70.94,24.2941,80.82,"6,190.00",3.753,"4,308.32",0.2487,7.28,"1,551.12","15,499.90",34.6,2.74
32000,33562.47,2058.93,43.21,1.0782,71.56,23.6194,80.97,"6,290.00",3.7715,"4,304.88",0.2494,7.13,"1,558.94","15,502.60",34.63,2.69
32050,33547.67,2069.61,43.25,1.0695,71.99,23.555,83.18,"6,390.00",3.7875,"4,285.47",0.2491,7,"1,531.30","15,391.80",34.79,2.93
32100,33187.58,2052.36,43.33,1.0714,70.21,23.8785,83.25,"6,390.00",3.7665,"4,271.34",0.2493,7.55,"1,537.62","15,275.20",34.8,3.05
32200,32929.85,2061.31,43.14,1.0762,67.6,23.5455,82.8,"6,590.00",3.7625,"4,241.01",0.2493,6.96,"1,526.87","15,031.10",34.575,3.22
32150,32948.71,2048.29,43.1,1.069,69.62,23.2094,83.47,"6,890.00",3.7125,"4,183.03",0.2489,6.87,"1,534.16","14,887.10",34.72,3.16
32250,33103.65,2077.17,42.89,1.0736,73.23,23.1723,84.45,"6,890.00",3.667,"4,190.74",0.2482,7.04,"1,525.58","14,994.60",34.705,2.97
32150,32795.5,2062.85,42.76,1.0707,71.89,22.7351,83.9,"6,890.00",3.662,"4,226.71",0.2472,6.88,"1,543.30","15,078.70",34.72,3.11
32050,32854.26,2069.57,42.84,1.0722,74.21,23.081,85.4,"6,890.00",3.682,"4,156.16",0.2483,6.59,"1,533.18","14,976.00",34.71,3.11
31850,33021.76,2061.94,42.96,1.075,73.77,23.4533,84.92,"6,890.00",3.589,"4,155.71",0.2488,6.61,"1,537.55","15,022.90",34.65,3.12
31900,33190.6,2060.24,42.87,1.0775,72.1,23.6668,84.15,"6,990.00",3.557,"4,132.96",0.2496,6.72,"1,530.61","15,172.30",34.61,2.83
32100,33408.54,2028.44,42.7,1.0812,71.7,23.8571,83.46,"6,990.00",3.6405,"4,176.80",0.2484,6.93,"1,526.15","15,318.80",34.47,2.83
32200,33582.95,2062.46,42.72,1.0814,71.94,23.4699,82.9,"6,990.00",3.6805,"4,190.78",0.2489,7.15,"1,505.21","15,324.30",34.37,2.7
32050,33374.56,2063.87,42.77,1.0771,72.75,23.69,83.3,"6,890.00",3.7275,"4,204.15",0.2483,7.05,"1,529.15","15,345.40",34.415,2.59
32100,33092.48,2080.24,42.6,1.084,70.6,23.7367,83.46,"6,890.00",3.6975,"4,157.68",0.249,7.01,"1,531.15","15,313.90",34.27,2.45
31900,33275.37,2080.94,42.33,1.0862,71.32,24.143,83.75,"6,990.00",3.746,"4,122.85",0.2499,6.99,"1,541.29","15,129.30",34.06,2.45
32050,33321.21,2122.8,42.27,1.0874,70.04,23.915,83.65,"7,290.00",3.662,"4,127.95",0.2482,7,"1,541.11","15,322.60",33.79,2.47
32150,33370.58,2111.34,42.34,1.0856,71.42,24.1504,83.74,"7,490.00",3.743,"4,126.65",0.2497,7.01,"1,570.62","15,246.40",33.93,2.45
32250,33707.2,2112.03,42.56,1.0961,73.58,25.5982,79.41,"7,590.00",3.7235,"4,143.74",0.2488,7,"1,562.66","15,352.80",33.715,2.51
32200,33589.85,2113.93,42.76,1.1006,72.84,25.5243,79.09,"7,840.00",3.9035,"4,124.25",0.2504,7.08,"1,561.76","15,391.30",33.87,2.57
32250,33797.43,2071.26,42.64,1.106,74.91,24.8654,79.94,"7,940.00",3.924,"4,082.55",0.2516,7.19,"1,531.92","15,233.80",33.93,2.35
32300,33381.66,2077.18,42.57,1.1035,74.38,24.8839,79.53,"8,840.00",3.855,"4,166.79",0.2505,7.1,"1,536.28","15,545.90",34.13,2.38
32250,33596.34,2084.78,42.7,1.1028,77.08,24.9555,79.79,"8,840.00",3.895,"4,129.63",0.2551,7.28,"1,539.28","15,431.60",34.15,2.46
