Y,BOND10THB,OIL,SET,USD_THB,XAU_USD
29400,1.32,42.81,1331.54,31.15,2001.22
29350,1.3,43.05,1321.38,31.15,1985.47
28550,1.31,42.45,1329.82,31.13,1946.22
28650,1.34,42.62,1345.56,31.05,1953.98
28400,1.34,42.88,1349.08,31.09,1920.87
29700,1.31,42.21,1334.1,31.12,2027.11
29900,1.26,41.63,1327.16,31.21,2033.71
30350,1.225,42.19,1331.92,31.12,2064.52
29850,1.225,42.42,1336.13,31.03,2040.03
29450,1.2,41.8,1335.52,31.04,2018.98
29050,1.225,41.08,1330.6,31.19,1976.45
29100,1.22,40.7,1324.46,31.25,1980.43
29000,1.23,40.65,1314.99,31.38,1960.96
29100,1.25,41.59,1345.09,31.43,1970.89
29050,1.25,41.29,1346.6,31.48,1959.71
28200,1.24,41.23,1348.81,31.72,1886.83
27850,1.23,42.1,1356.97,31.62,1871.97
27650,1.25,41.68,1380.97,31.59,1841.89
27250,1.25,40.8,1366.83,31.79,1815.53
27150,1.27,40.77,1358.62,31.7,1809.28
27000,1.27,40.9,1353.27,31.71,1797.3
27050,1.26,41.19,1354.23,31.54,1811.72
26950,1.3,40.79,1351.5,31.54,1808.14
26800,1.3,39.84,1332.87,31.4,1802.77
26700,1.29,40.57,1361.75,31.32,1798.69
26700,1.29,39.83,1357.99,31.23,1801.71
26650,1.33,41.03,1367.24,31.22,1810.68
26550,1.33,40.57,1371.91,31.23,1794.93
26250,1.31,40.75,1389.18,31.11,1784.57
26150,1.29,40.23,1377.67,31.08,1774.03
26000,1.28,39.85,1357.21,31.04,1769.6
26100,1.24,39.88,1345.62,30.91,1780.91
25900,1.2,39.76,1344.54,30.89,1771.77
25850,1.2,38.12,1320.73,30.91,1773.27
25800,1.23,39.23,1335.55,30.91,1762.35
25750,1.21,38.26,1317.72,30.87,1759.76
25850,1.25,40.16,1362.42,30.94,1769.09
25700,1.26,40.78,1359.55,30.96,1756.03
25700,1.28,39.02,1359.3,30.98,1749
25400,1.275,39.03,1376.89,31.1,1723.16
25450,1.315,38,1359.68,31.14,1725.57
25450,1.28,38.21,1362.78,31.13,1727.34
25400,1.26,37.38,1374.59,31.02,1725.79
25400,1.21,36.26,1373.5,30.97,1732.35
25450,1.22,36.46,1359,31.08,1728.32
25350,1.17,39.25,1413.2,31.13,1737.11
25450,1.22,38.72,1417.04,31.31,1714.33
25250,1.23,38.51,1438.64,31.43,1700.25
25250,1.36,39.67,1449.76,31.49,1684.16
25600,1.37,37.64,1416.72,31.56,1711.2
25600,1.29,37.06,1396.25,31.57,1699.11
26050,1.18,35.94,1361.64,31.66,1740.93
26100,1.19,35.62,1355.39,31.84,1736.42
25950,1.2,34.06,1333.7,31.88,1721.7
25900,1.2,32.48,1356.02,31.92,1709.68
25900,1.11,34.54,1339.18,31.88,1712.03
26200,1.07,33.77,1335.87,31.97,1729.65
26150,1.07,32.92,1308.16,31.89,1734.73
26100,1.11,34.41,1309.92,31.85,1725.26
26300,1.12,33.93,1330.84,31.82,1750.18
26350,1.14,32.41,1311.36,31.93,1744.44
26300,1.16,32.39,1308.96,32.01,1733.37
26600,1.13,29.81,1290.11,32.07,1742.93
26250,1.11,28.02,1287.06,32.1,1731.13
26000,1.1,25.97,1286.63,32.08,1715.01
25900,1.13,25.8,1297.03,32.1,1701.21
25900,1.09,25.39,1286.31,32.2,1696.25
26000,1.11,25.91,1277.41,32.2,1703.76
26150,1.11,24.81,1265.23,32.35,1717.46
26000,1.12,25.56,1274.5,32.44,1686.08
26000,1.19,23.56,1287.7,32.39,1701.78
26150,1.22,19.33,1297.93,32.41,1715.22
26150,1.25,18.01,1282.57,32.47,1708.72
26100,1.29,18.24,1267.46,32.47,1716.19
26350,1.26,21.13,1271.22,32.44,1724.86
26350,1.27,21.85,1274.21,32.34,1733.32
26100,1.27,20.99,1266.61,32.37,1713
25900,1.23,20.26,1245.9,32.52,1686.47
26000,1.28,21.32,1247.52,32.51,1694.22
25800,1.38,24.76,1241.94,32.49,1691.44
26100,1.38,26.42,1230.34,32.68,1713.49
26200,1.4,26.26,1226.16,32.7,1716.29
